period,time,x,y,freeKick,rightFoot,leftFoot,head,opportunity,goal
1,952,87,75,0,1,0,0,1,0
1,1029,88,65,0,0,0,1,1,0
1,1146,93,33,0,0,0,1,1,0
1,1503,77,37,0,0,1,0,0,0
1,1555,85,32,0,1,0,0,1,0
1,1799,88,65,0,0,1,0,0,0
1,1981,73,41,0,1,0,0,0,0
1,2078,92,54,0,0,0,1,1,0
1,2312,70,63,1,1,0,0,1,0
1,2349,64,57,0,1,0,0,1,0
1,2517,87,28,0,0,1,0,0,0
1,2557,94,55,0,0,0,1,1,0
1,2692,87,36,0,1,0,0,1,0
2,123,88,65,0,1,0,0,1,0
2,284,74,52,0,1,0,0,0,0
2,472,77,48,0,1,0,0,1,0
2,552,90,70,0,0,0,1,1,0
2,942,86,47,0,0,0,1,1,0
2,1014,76,57,0,1,0,0,0,0
2,1320,90,68,0,1,0,0,1,0
2,1739,74,69,0,1,0,0,1,0
2,1922,74,33,0,1,0,0,1,0
2,2049,88,72,0,0,1,0,1,0
2,2129,80,44,0,1,0,0,1,0
2,2244,73,57,0,0,1,0,0,0
2,2270,73,34,0,1,0,0,0,0
2,2282,87,63,0,0,0,1,1,0
2,2426,91,50,0,1,0,0,0,0
2,2537,73,71,0,1,0,0,0,0
2,2987,76,60,0,1,0,0,0,0
1,195,77,49,0,0,1,0,1,0
1,270,81,69,0,0,1,0,0,0
1,630,80,55,0,0,1,0,1,0
1,735,74,34,0,1,0,0,0,0
1,854,86,61,0,0,1,0,1,1
1,1070,89,57,0,1,0,0,1,0
1,1205,82,59,0,1,0,0,1,0
1,1467,79,56,0,1,0,0,0,0
1,1603,81,25,0,1,0,0,1,0
1,1747,97,35,0,0,1,0,0,0
1,1835,86,27,0,1,0,0,1,0
1,1966,91,57,0,0,0,1,0,0
1,2082,76,64,1,0,1,0,0,0
1,2084,80,67,0,1,0,0,0,0
1,2178,54,46,0,1,0,0,0,0
1,2243,77,36,0,1,0,0,0,0
1,2277,93,59,0,0,1,0,1,0
1,2279,98,61,0,1,0,0,1,1
1,2385,82,65,0,1,0,0,0,0
1,2504,92,36,0,0,1,0,1,0
2,14,84,66,0,0,1,0,1,0
2,376,73,59,0,1,0,0,1,0
2,515,90,44,0,0,1,0,1,1
2,776,96,49,0,0,0,1,1,0
2,867,71,73,1,0,1,0,1,0
2,1166,88,63,0,1,0,0,1,0
2,1499,84,39,0,1,0,0,1,0
2,1671,82,74,0,0,1,0,0,0
2,1905,86,27,0,1,0,0,1,0
2,2121,96,49,0,1,0,0,1,0
2,2801,83,77,0,1,0,0,1,0
2,2887,85,40,0,0,1,0,0,0
1,59,82,27,0,0,1,0,1,0
1,174,87,28,0,0,1,0,1,0
1,695,82,63,0,1,0,0,0,0
1,746,90,58,0,0,0,1,1,0
1,886,76,61,0,1,0,0,0,0
1,1039,77,32,1,0,1,0,0,0
1,1279,78,44,0,0,1,0,0,0
