period,time,x,y,target,freeKick,rightFoot,leftFoot,head,opportunity,goal
2,2948,95,66,0.0,0,1,0,0,1,1
1,550,88,51,1.0,0,1,0,0,1,0
1,963,71,64,0.0,0,1,0,0,0,0
1,1077,77,76,0.0,1,1,0,0,0,0
1,1248,91,31,1.0,0,0,1,0,1,0
1,1386,88,53,1.0,0,1,0,0,1,1
1,1522,84,21,1.0,0,1,0,0,1,0
1,1710,76,70,1.0,1,0,1,0,0,0
1,2059,88,33,1.0,0,0,1,0,1,0
1,2311,92,51,1.0,0,0,0,1,1,0
1,2513,81,67,1.0,0,0,1,0,1,0
1,2620,82,50,0.0,0,0,1,0,1,1
2,235,72,32,0.0,0,1,0,0,0,0
2,544,97,56,1.0,0,1,0,0,1,1
2,743,83,66,1.0,0,1,0,0,1,1
2,1509,93,48,1.0,0,0,1,0,1,0
2,1827,91,77,0.0,0,1,0,0,1,0
2,2217,79,58,1.0,0,0,1,0,1,0
2,2523,75,52,0.0,1,1,0,0,1,1
2,2776,87,39,0.0,0,1,0,0,1,0
1,72,85,31,0.0,0,1,0,0,1,0
1,239,93,65,0.0,0,0,0,1,1,0
1,466,85,49,0.0,0,0,1,0,1,0
1,1097,94,58,0.0,0,0,1,0,1,0
1,1099,88,57,0.0,0,0,1,0,1,0
1,1460,93,49,1.0,0,1,0,0,0,0
1,1526,86,25,0.0,0,1,0,0,0,0
1,1529,76,53,0.0,0,1,0,0,0,0
1,1790,92,31,0.0,0,1,0,0,1,0
1,1892,94,72,1.0,0,1,0,0,1,0
1,2081,70,65,1.0,1,1,0,0,0,0
1,2538,91,70,1.0,0,1,0,0,1,0
1,2540,87,71,1.0,0,1,0,0,1,0
1,2585,83,46,1.0,0,1,0,0,0,0
1,2649,69,66,1.0,1,0,1,0,1,0
2,209,92,32,0.0,0,1,0,0,1,0
2,2058,79,40,0.0,0,0,1,0,1,0
2,2109,93,48,0.0,0,0,0,1,0,0
2,2494,77,66,0.0,0,0,1,0,0,0
2,2711,69,64,0.0,0,1,0,0,0,0
1,66,89,41,1.0,0,0,0,1,1,0
1,216,69,51,0.0,0,0,1,0,0,0
1,238,91,48,0.0,0,0,0,1,1,1
1,511,87,59,0.0,0,1,0,0,1,0
1,582,90,61,1.0,0,0,0,1,1,0
1,661,93,46,1.0,0,0,0,1,1,0
1,817,89,61,1.0,0,0,0,1,0,0
1,1037,88,31,1.0,0,0,1,0,1,0
1,1331,75,29,1.0,0,1,0,0,1,0
1,1893,77,39,0.0,1,1,0,0,0,0
1,2015,71,26,1.0,0,1,0,0,0,0
1,2334,87,41,0.0,0,1,0,0,1,0
1,2797,93,52,1.0,0,0,0,1,1,0
2,327,86,64,0.0,0,1,0,0,1,0
2,589,87,72,1.0,0,1,0,0,1,0
2,670,90,54,1.0,0,0,0,1,1,0
2,898,87,49,1.0,0,0,1,0,1,0
2,1348,80,72,1.0,1,0,1,0,1,0
2,1552,74,15,0.0,0,1,0,0,0,0
2,1976,91,56,1.0,0,0,0,1,1,0
2,2122,75,73,1.0,0,1,0,0,1,0
2,2206,72,83,0.0,0,1,0,0,0,0
2,2361,79,36,0.0,1,1,0,0,0,0
2,2685,90,57,1.0,0,0,1,0,1,0
2,2840,88,48,1.0,0,0,1,0,1,0
2,2985,71,20,0.0,0,1,0,0,0,0
1,210,81,77,1.0,0,1,0,0,0,0
1,354,74,30,0.0,0,0,1,0,0,0
1,835,76,50,0.0,0,0,1,0,1,0
1,1087,77,58,1.0,0,0,1,0,0,0
1,1312,69,40,1.0,1,1,0,0,0,0
1,1459,72,62,1.0,1,0,1,0,1,0
1,1768,93,51,1.0,0,0,1,0,1,0
1,1834,76,76,1.0,0,1,0,0,0,0
1,2465,93,44,1.0,0,0,1,0,1,0
1,2651,77,37,1.0,0,1,0,0,0,0
1,2770,88,59,1.0,0,0,1,0,1,0
2,221,94,48,1.0,0,1,0,0,1,0
2,240,78,52,1.0,0,1,0,0,1,0
2,370,88,60,1.0,0,1,0,0,1,0
2,445,87,39,0.0,0,1,0,0,1,0
2,514,90,42,1.0,0,1,0,0,1,1
2,865,90,45,0.0,0,0,0,1,1,0
2,1451,91,55,1.0,0,1,0,0,1,0
2,1921,80,66,1.0,1,1,0,0,0,0
2,2198,95,55,0.0,0,0,0,1,1,0
1,150,90,27,1.0,0,1,0,0,1,0
1,391,84,30,0.0,0,0,1,0,0,0
1,516,81,44,1.0,0,1,0,0,1,0
1,957,74,64,1.0,1,1,0,0,0,0
1,999,84,49,1.0,0,1,0,0,0,0
1,1273,77,24,0.0,1,1,0,0,1,0
1,2016,92,53,0.0,0,0,0,1,1,0
1,2353,70,33,1.0,0,1,0,0,1,0
1,2461,92,66,1.0,0,1,0,0,0,0
1,2661,82,71,1.0,0,1,0,0,1,1
2,973,75,32,1.0,0,0,1,0,0,0
2,1236,78,40,1.0,0,1,0,0,1,0
2,1553,73,27,1.0,0,1,0,0,1,0
2,1603,82,43,0.0,0,1,0,0,1,0
