period,time,x,y,freeKick,rightFoot,leftFoot,head,opportunity,goal
1,2464,73,44,0,0,1,0,0,0
1,2746,77,61,0,0,1,0,1,0
2,560,86,36,0,0,1,0,1,0
2,705,97,42,0,0,0,1,1,0
2,914,87,55,0,0,1,0,1,1
2,1065,77,26,1,0,1,0,0,0
2,1166,70,47,0,1,0,0,1,0
2,1362,75,68,0,1,0,0,1,0
2,1673,95,52,0,0,0,1,1,0
2,2054,72,53,1,0,1,0,0,0
2,2130,88,60,0,0,1,0,1,1
2,2422,92,41,0,0,0,1,1,0
2,2660,79,29,0,0,1,0,1,0
2,2692,88,62,0,1,0,0,1,0
1,166,73,51,0,1,0,0,1,0
1,387,90,55,0,1,0,0,1,0
1,517,90,45,0,0,0,1,1,0
1,692,90,43,0,0,0,1,1,0
1,767,71,19,0,1,0,0,0,0
1,968,90,63,0,0,0,1,1,0
1,1290,92,59,0,1,0,0,1,0
1,2044,81,61,0,1,0,0,1,0
1,2455,73,18,0,0,1,0,1,0
2,585,78,71,1,1,0,0,0,0
2,774,90,67,0,1,0,0,0,0
2,828,78,57,0,0,1,0,1,0
2,905,89,52,0,0,0,1,1,0
2,1051,75,39,0,1,0,0,1,0
2,1511,87,53,0,1,0,0,1,0
2,1673,82,52,1,1,0,0,0,1
2,1873,83,50,0,0,1,0,0,0
2,2029,74,75,0,1,0,0,1,0
2,2318,70,51,1,1,0,0,0,0
2,2778,91,54,0,0,0,1,1,1
1,460,77,34,0,1,0,0,0,0
1,554,86,22,0,0,1,0,1,0
1,733,72,51,1,0,1,0,0,0
1,826,89,40,0,0,0,1,1,0
1,1063,75,54,0,1,0,0,0,0
1,1354,93,49,0,0,0,1,1,0
1,1636,74,43,0,1,0,0,1,0
1,1896,91,37,0,1,0,0,1,1
1,2494,82,56,0,1,0,0,1,0
1,2673,89,24,0,1,0,0,1,1
2,191,94,65,0,0,0,1,1,0
2,527,92,31,0,0,1,0,1,0
2,674,71,48,0,1,0,0,0,0
2,1189,75,62,0,1,0,0,0,0
2,1244,90,52,0,0,1,0,1,0
2,1247,82,51,0,1,0,0,1,0
2,1343,81,33,0,0,1,0,0,0
2,1345,82,44,0,1,0,0,0,0
2,2007,77,51,0,1,0,0,0,0
2,2076,91,45,0,0,0,1,1,1
2,2113,79,33,0,1,0,0,0,0
2,2449,81,56,0,1,0,0,1,0
2,2619,84,52,0,1,0,0,0,0
2,2862,70,42,1,1,0,0,0,0
1,302,88,53,0,0,0,1,1,0
1,387,94,51,0,0,1,0,1,0
1,570,93,29,0,0,1,0,1,0
1,728,70,37,0,1,0,0,0,0
1,1306,73,64,1,1,0,0,0,0
1,1524,94,50,0,0,0,1,1,0
1,1901,98,51,0,0,0,1,1,0
1,2118,90,44,0,0,0,1,1,0
1,2488,70,54,1,0,1,0,0,1
2,188,69,60,0,1,0,0,0,0
2,395,77,80,0,0,1,0,0,0
2,543,71,37,0,1,0,0,1,0
2,563,81,36,0,1,0,0,1,0
2,625,98,50,0,1,0,0,1,1
2,841,76,64,0,1,0,0,0,0
2,986,89,43,0,0,1,0,1,0
2,1246,77,78,0,0,1,0,0,0
2,1450,81,52,0,0,1,0,0,0
2,1761,90,61,0,0,0,1,1,0
2,1968,85,50,0,0,1,0,0,0
2,2061,78,33,0,1,0,0,1,0
2,2318,82,32,0,1,0,0,0,0
2,2623,78,78,0,1,0,0,0,0
2,2650,90,56,0,0,0,1,1,0
2,2763,95,41,0,1,0,0,1,1
2,2882,86,59,0,0,0,1,1,0
1,295,92,61,0,0,1,0,0,0
1,380,73,32,0,1,0,0,0,0
1,768,70,51,0,0,1,0,1,0
1,906,90,66,0,1,0,0,1,0
1,1001,93,42,0,0,1,0,1,0
1,1899,73,48,0,0,1,0,0,0
1,1931,87,56,0,1,0,0,1,0
1,2111,72,53,0,0,1,0,0,0
1,2615,87,48,0,0,0,1,0,0
1,2619,78,53,0,0,1,0,1,0
2,465,91,66,0,1,0,0,1,0
2,510,86,52,0,0,0,1,0,0
2,591,91,30,0,1,0,0,1,0
2,950,91,36,0,0,1,0,1,0
2,1003,39,43,0,1,0,0,0,0
2,1319,72,64,0,1,0,0,0,0
2,1501,75,47,0,1,0,0,0,0
2,1755,78,58,0,1,0,0,1,0
2,2177,89,49,0,1,0,0,0,0
2,2180,72,54,0,1,0,0,0,0
2,2234,72,35,0,1,0,0,0,0
2,2258,78,60,0,0,1,0,1,0
2,2391,58,55,1,1,0,0,0,0
2,2545,92,47,0,0,0,1,1,0
2,2645,74,52,0,0,1,0,0,0
2,2804,78,49,0,1,0,0,1,0
2,2843,69,40,0,1,0,0,0,0
1,59,83,74,0,0,1,0,1,0
1,512,80,72,0,0,1,0,0,0
1,628,87,51,0,1,0,0,1,1
1,702,75,67,0,1,0,0,1,0
1,1177,94,30,0,0,1,0,1,0
1,1180,94,35,0,0,1,0,1,1
1,1556,96,45,0,0,0,1,1,0
1,1572,86,48,0,1,0,0,1,0
1,1785,88,60,0,1,0,0,1,0
1,1800,94,37,0,0,0,1,1,0
1,1927,75,64,0,1,0,0,1,0
1,2004,93,49,0,0,0,1,1,0
1,2066,69,29,0,1,0,0,1,0
1,2241,80,79,0,0,1,0,1,0
