period,time,x,y,freeKick,rightFoot,leftFoot,head,opportunity,goal
1,2102,88,43,0,0,0,1,1,0
1,2449,77,26,0,1,0,0,1,0
1,2487,72,53,0,1,0,0,0,0
1,2680,71,47,0,1,0,0,0,0
2,23,75,51,0,0,1,0,0,0
2,235,94,37,0,0,1,0,1,0
2,354,89,50,0,1,0,0,1,0
2,615,74,63,0,0,1,0,0,0
2,937,94,48,0,0,1,0,1,1
2,1045,86,34,0,0,1,0,1,0
2,1055,92,36,0,0,1,0,1,0
2,1483,88,47,0,1,0,0,1,1
2,1918,75,51,0,1,0,0,1,0
2,2076,82,36,0,0,1,0,1,0
2,2260,96,39,0,0,1,0,1,0
2,2470,90,35,0,1,0,0,1,0
2,2738,89,58,0,1,0,0,1,0
1,81,95,64,0,0,0,1,1,0
1,210,94,43,0,1,0,0,1,0
1,385,76,31,0,0,1,0,0,0
1,588,94,52,0,0,0,1,1,0
1,1052,95,45,0,0,1,0,1,0
1,1144,89,41,0,0,1,0,1,0
1,1246,93,33,0,1,0,0,0,0
1,1427,80,32,0,0,1,0,1,0
1,1484,78,49,0,1,0,0,1,0
1,2090,86,46,0,0,1,0,0,0
1,2092,86,74,0,1,0,0,0,0
1,2153,78,50,0,1,0,0,0,0
1,2195,93,55,0,1,0,0,1,0
2,56,91,61,0,0,1,0,1,0
2,59,91,66,0,1,0,0,1,0
2,139,81,49,0,0,1,0,0,0
2,145,80,25,0,1,0,0,0,0
2,242,79,20,0,0,1,0,0,0
2,357,93,66,0,0,1,0,1,0
2,941,90,43,0,0,0,1,1,0
2,963,81,60,0,1,0,0,0,0
2,1328,91,28,0,0,1,0,0,0
2,1459,82,49,0,1,0,0,0,0
2,1986,70,41,0,0,1,0,1,0
2,2033,96,57,0,0,0,1,1,0
2,2222,85,54,0,0,1,0,1,0
2,2487,78,66,0,1,0,0,1,0
2,2636,79,25,0,1,0,0,0,0
2,2788,72,60,1,1,0,0,1,0
2,2834,87,67,0,1,0,0,1,0
1,417,90,36,0,0,1,0,1,0
1,467,95,56,0,0,0,1,1,1
1,1699,90,32,0,1,0,0,1,1
1,1861,93,53,0,1,0,0,1,1
1,2160,54,31,0,1,0,0,0,0
1,2260,90,66,0,0,1,0,1,0
1,2841,88,46,0,0,0,1,1,0
2,190,87,65,0,0,1,0,1,0
2,713,96,57,0,0,1,0,1,1
2,1108,81,32,0,0,1,0,1,0
2,1144,94,41,0,0,0,1,1,0
2,1460,93,59,0,0,0,1,1,0
2,1535,85,65,0,0,1,0,1,0
2,1800,75,23,0,0,1,0,0,0
2,1874,91,69,0,1,0,0,1,0
2,2403,87,49,0,1,0,0,1,0
2,2843,86,40,0,0,1,0,1,0
2,2879,99,52,0,0,0,1,1,1
2,2966,90,48,0,0,0,1,1,0
2,3144,86,46,0,1,0,0,1,0
1,143,80,25,0,1,0,0,1,0
1,457,89,75,0,1,0,0,1,0
1,533,97,38,0,1,0,0,1,0
1,794,88,79,0,1,0,0,1,0
1,852,97,47,0,0,0,1,1,0
1,1334,74,76,0,0,1,0,0,0
1,1360,87,31,0,1,0,0,1,0
1,1516,90,22,0,1,0,0,1,0
1,1816,98,42,0,0,0,1,1,1
1,1990,84,58,0,1,0,0,1,0
1,2385,99,56,0,1,0,0,1,0
1,2681,74,49,0,0,1,0,1,0
2,275,72,58,0,0,1,0,1,0
2,447,86,54,0,0,0,1,1,0
2,649,96,38,0,0,0,1,1,0
2,892,90,47,0,1,0,0,0,0
2,908,89,30,0,1,0,0,0,0
2,1361,89,50,0,1,0,0,0,0
2,1738,77,68,0,1,0,0,0,0
2,2225,91,48,0,0,0,1,1,0
2,2368,93,45,0,0,1,0,1,0
2,2390,69,28,0,0,1,0,0,0
2,2823,78,29,0,1,0,0,1,0
2,2983,79,52,0,1,0,0,1,0
1,279,87,37,0,0,1,0,1,0
1,359,97,45,0,0,1,0,1,0
1,826,83,63,0,1,0,0,0,0
1,1139,89,43,0,0,0,1,1,0
1,1833,95,62,0,1,0,0,1,0
1,1863,80,39,0,0,1,0,0,0
1,1942,80,53,0,0,1,0,0,0
1,2274,86,36,0,0,0,1,0,0
1,2822,95,39,0,0,1,0,1,0
2,88,92,44,0,0,0,1,1,0
2,195,94,70,0,1,0,0,0,0
2,715,86,68,0,1,0,0,1,0
2,742,83,28,0,1,0,0,1,0
2,1024,76,33,0,1,0,0,0,0
2,1348,90,33,0,0,1,0,1,0
2,1496,86,40,0,1,0,0,1,0
2,1498,87,46,0,1,0,0,0,0
2,1636,95,59,0,0,1,0,1,1
2,1802,89,54,0,0,0,1,1,0
2,2160,94,50,0,0,0,1,1,0
2,2440,95,65,0,1,0,0,1,0
2,2447,72,64,0,1,0,0,1,1
2,2580,77,28,0,1,0,0,1,0
2,2816,97,68,0,1,0,0,0,0
1,48,93,32,0,0,1,0,1,0
1,260,73,37,0,1,0,0,0,0
1,972,76,52,0,1,0,0,1,0
1,1476,88,30,0,1,0,0,0,0
1,1479,86,41,0,1,0,0,0,0
1,1763,77,66,0,0,1,0,1,0
1,1862,89,55,0,0,0,1,1,0
1,2374,97,44,0,0,0,1,1,0
1,2565,94,45,0,0,0,1,1,0
2,19,86,73,0,1,0,0,0,0
2,81,77,57,0,1,0,0,0,0
2,367,99,82,1,0,1,0,1,0
2,586,77,56,0,1,0,0,1,0
2,660,75,44,0,1,0,0,0,0
2,737,74,58,0,0,1,0,0,0
2,1027,75,39,0,0,1,0,0,0
2,1198,83,49,1,0,1,0,0,0
2,1200,81,29,0,0,1,0,0,0
2,1513,92,62,0,1,0,0,1,1
2,1826,92,56,0,0,0,1,0,0
2,2131,77,60,0,1,0,0,0,0
2,2210,90,33,0,1,0,0,1,0
2,2603,87,51,0,1,0,0,1,0
2,2693,93,59,0,0,0,1,1,0
2,2913,90,32,0,0,0,1,1,0
1,66,89,60,0,1,0,0,1,0
1,233,74,47,0,1,0,0,1,0
1,457,69,56,0,1,0,0,0,0
1,526,74,19,0,0,1,0,0,0
1,528,88,23,0,0,1,0,1,0
1,877,82,53,0,0,1,0,1,0
1,950,82,29,0,1,0,0,1,0
1,2416,74,31,0,1,0,0,0,0
1,2684,90,68,0,1,0,0,1,0
2,248,84,40,0,1,0,0,1,1
2,1343,87,44,0,1,0,0,1,0
2,1371,93,55,0,0,1,0,1,0
2,1530,72,36,0,0,1,0,0,0
2,2144,88,58,0,1,0,0,1,0
2,2298,86,59,0,0,0,1,1,0
2,2639,73,50,0,1,0,0,1,0
2,2853,86,56,0,1,0,0,1,0
1,51,88,70,0,0,1,0,1,0
1,53,91,50,0,1,0,0,1,1
1,301,87,47,0,0,0,1,1,0
1,759,78,46,0,0,1,0,0,0
1,925,80,52,0,0,1,0,0,0
1,960,91,53,0,1,0,0,1,0
1,1066,71,56,0,1,0,0,0,0
1,1629,86,39,0,1,0,0,1,0
1,1967,76,56,0,1,0,0,0,0
1,2337,82,56,0,1,0,0,1,0
1,2421,93,54,0,0,1,0,1,0
2,532,92,37,0,0,0,1,1,1
2,1292,77,7,1,1,0,0,0,0
2,1637,78,42,0,1,0,0,1,0
2,1680,86,47,0,0,1,0,1,0
2,1722,71,49,0,0,1,0,1,0
2,1838,73,67,0,0,1,0,1,0
2,1880,73,19,0,1,0,0,0,0
2,2683,73,73,0,0,1,0,1,0
1,488,93,47,0,0,0,1,1,0
1,566,94,32,0,1,0,0,1,0
1,848,95,56,0,0,0,1,1,0
1,1099,74,33,1,1,0,0,0,0
1,1644,79,38,0,0,1,0,0,0
1,2062,93,68,0,1,0,0,1,0
1,2262,82,44,1,0,1,0,0,0
1,2406,78,80,0,1,0,0,1,0
1,2424,88,33,0,0,1,0,1,0
2,407,82,54,1,1,0,0,1,0
2,509,74,49,0,1,0,0,1,0
2,589,93,55,0,1,0,0,1,0
2,659,85,26,0,1,0,0,1,0
2,815,76,44,0,1,0,0,0,0
2,835,72,57,0,1,0,0,1,0
2,841,89,29,0,0,1,0,0,0
2,1489,86,42,0,1,0,0,1,0
2,1492,90,59,0,1,0,0,0,0
2,1496,88,43,0,0,1,0,1,0
2,1627,89,44,0,1,0,0,1,1
2,2194,89,34,0,0,0,1,1,0
2,2368,70,54,0,1,0,0,1,0
2,2604,91,31,0,0,1,0,1,0
2,2631,89,69,0,1,0,0,0,0
2,2634,87,67,0,0,1,0,0,0
2,2637,80,27,0,0,1,0,1,0
2,2729,81,65,0,0,1,0,1,0
2,2734,89,35,0,1,0,0,1,0
1,86,75,30,0,1,0,0,1,0
1,181,83,79,0,1,0,0,1,0
1,514,89,65,0,0,1,0,1,0
1,654,91,65,0,1,0,0,0,0
1,689,73,41,0,1,0,0,1,0
1,917,76,56,0,1,0,0,1,0
1,930,77,50,0,1,0,0,1,0
1,1114,90,44,0,0,0,1,0,0
1,1530,73,27,0,1,0,0,1,0
1,1562,90,55,0,0,0,1,1,0
1,2024,91,38,0,0,1,0,1,0
1,2074,90,58,0,0,1,0,1,1
1,2225,87,38,0,0,0,1,1,0
1,2559,89,59,0,1,0,0,1,0
1,2689,86,55,0,0,0,1,0,0
2,305,82,51,0,1,0,0,0,0
2,749,77,53,1,1,0,0,0,0
2,751,77,65,0,0,1,0,0,0
2,1510,90,58,0,0,1,0,1,0
2,1588,73,56,0,1,0,0,1,0
2,1688,71,93,0,1,0,0,0,0
2,1725,88,69,0,1,0,0,1,0
2,1781,82,53,0,0,1,0,0,0
2,1902,93,67,0,0,1,0,1,0
2,1986,88,56,0,0,0,1,1,0
2,2216,90,49,0,1,0,0,1,1
1,173,96,32,0,0,1,0,1,0
1,1136,97,39,0,1,0,0,1,0
1,1200,77,69,0,1,0,0,0,0
1,1215,90,61,0,1,0,0,1,0
1,1636,97,61,0,1,0,0,1,0
1,1854,89,53,0,0,0,1,1,0
1,1941,83,46,0,1,0,0,0,0
1,2044,74,70,0,0,1,0,1,0
1,2147,81,76,0,1,0,0,1,0
1,2544,73,60,0,0,1,0,0,0
1,2734,81,28,0,1,0,0,0,0
2,94,88,34,0,0,1,0,1,1
2,721,89,27,0,1,0,0,1,0
2,805,90,41,0,0,0,1,1,0
2,892,89,56,0,0,1,0,1,0
2,970,90,41,0,0,0,1,1,0
2,1048,76,52,0,1,0,0,0,0
2,1050,93,61,0,1,0,0,1,0
2,1280,93,37,0,1,0,0,1,0
2,1327,82,65,0,1,0,0,0,0
2,1347,86,40,0,1,0,0,0,0
2,1464,82,51,0,0,1,0,0,0
2,1472,77,30,0,0,1,0,1,0
2,1940,79,68,0,1,0,0,0,0
2,1965,93,33,0,0,0,1,1,0
2,2921,88,52,0,0,0,1,1,0
2,2958,87,79,0,1,0,0,1,0
1,170,96,28,0,1,0,0,1,0
1,203,88,30,0,1,0,0,1,0
1,288,73,69,0,0,1,0,1,0
1,412,77,30,0,1,0,0,1,0
1,544,95,52,0,0,0,1,1,0
1,1190,86,49,0,0,1,0,0,0
1,1370,96,27,0,0,1,0,1,0
1,1714,66,31,0,1,0,0,1,0
1,2039,93,50,0,0,0,1,1,0
1,2134,89,44,0,1,0,0,1,0
1,2502,88,57,0,0,1,0,1,0
1,2655,95,51,0,0,0,1,1,0
1,2658,97,48,0,1,0,0,1,1
2,652,78,39,0,1,0,0,1,0
2,767,70,41,0,0,1,0,0,0
2,919,90,42,0,0,0,1,1,0
2,1007,78,73,0,0,1,0,0,0
2,1342,77,33,0,1,0,0,0,0
2,1700,76,35,1,1,0,0,1,0
2,1954,81,65,0,1,0,0,0,0
2,2086,89,45,0,0,1,0,1,1
2,2164,93,62,0,1,0,0,1,1
2,2307,87,43,0,1,0,0,1,1
2,2806,73,50,0,1,0,0,1,0
1,258,95,52,0,0,0,1,1,0
1,576,76,49,0,1,0,0,1,0
1,843,94,69,0,1,0,0,1,0
1,1118,76,55,0,0,1,0,1,0
1,1197,80,36,0,0,1,0,0,0
1,1410,76,68,1,0,1,0,1,1
1,1576,90,55,0,0,0,1,1,0
1,1722,95,64,0,1,0,0,1,0
1,1745,84,67,0,1,0,0,1,0
1,2492,88,34,0,1,0,0,1,0
1,2503,73,63,0,1,0,0,1,0
1,2589,71,36,0,0,1,0,1,0
1,2615,80,56,0,0,1,0,0,0
1,2649,89,45,0,0,0,1,1,0
1,2708,88,26,0,0,1,0,0,0
2,49,89,70,0,0,1,0,1,0
2,74,91,47,0,0,0,1,1,0
2,375,86,62,0,1,0,0,1,0
2,1410,78,55,0,1,0,0,0,0
2,1502,89,39,0,1,0,0,1,0
2,1548,90,68,0,1,0,0,1,0
2,1678,76,53,0,1,0,0,1,0
2,1844,82,44,0,0,1,0,0,0
2,1865,83,50,0,1,0,0,0,0
2,2532,91,30,0,0,1,0,1,1
1,321,71,47,0,1,0,0,0,0
1,757,85,53,0,1,0,0,1,1
1,877,91,41,0,1,0,0,1,0
1,964,93,45,0,0,0,1,1,0
1,965,95,46,0,1,0,0,1,1
1,1367,88,71,0,1,0,0,0,0
1,2271,87,11,1,1,0,0,1,0
1,2920,92,55,0,1,0,0,1,1
2,271,89,63,0,1,0,0,1,0
2,750,83,56,0,1,0,0,1,0
2,961,98,68,0,1,0,0,1,0
2,1023,95,38,0,0,0,1,1,0
2,1261,79,38,0,1,0,0,1,0
2,1591,89,55,0,1,0,0,0,0
2,1857,83,40,0,1,0,0,1,0
2,2066,89,46,0,0,1,0,0,0
2,2231,77,30,0,0,1,0,1,0
2,2482,68,31,0,0,1,0,0,0
2,2770,78,51,0,0,1,0,1,0
2,2839,89,59,0,0,0,1,0,0
1,267,90,62,0,1,0,0,1,0
1,711,80,52,0,1,0,0,0,0
1,721,90,19,0,0,1,0,1,1
1,886,88,56,0,1,0,0,1,0
1,1086,89,57,0,1,0,0,1,0
1,1090,94,84,0,1,0,0,1,0
1,1198,77,22,0,1,0,0,1,0
1,1251,88,51,0,1,0,0,1,1
1,1412,92,60,0,1,0,0,1,0
1,1487,87,50,0,0,1,0,0,0
1,1491,78,50,0,0,1,0,0,0
1,1619,95,66,0,1,0,0,1,0
1,1867,85,53,0,0,1,0,1,0
1,2586,94,71,0,1,0,0,1,0
2,594,89,39,0,0,1,0,0,0
2,918,87,46,0,0,1,0,1,0
2,1347,75,31,0,1,0,0,0,0
2,1539,80,65,0,1,0,0,1,0
2,1571,86,55,0,1,0,0,1,0
2,1685,81,38,0,1,0,0,0,0
2,1705,92,53,0,0,0,1,1,0
2,2312,89,54,0,0,1,0,1,0
2,2448,75,73,1,1,0,0,1,0
2,2774,76,68,0,1,0,0,0,0
2,3048,77,56,0,1,0,0,1,0
2,3092,88,55,0,1,0,0,0,1
2,3310,87,31,0,0,1,0,0,0
1,161,87,22,0,1,0,0,0,0
1,576,88,41,0,1,0,0,1,0
1,710,83,66,0,1,0,0,0,0
1,753,82,66,0,0,1,0,0,0
1,761,84,34,0,0,1,0,1,0
1,783,81,61,0,1,0,0,1,0
1,1583,90,60,0,1,0,0,1,1
1,1971,76,37,0,0,1,0,1,0
1,2368,94,55,0,0,0,1,1,1
1,2507,66,71,0,1,0,0,1,0
2,124,80,46,0,0,1,0,1,0
2,258,91,43,0,0,1,0,1,0
2,501,96,67,0,1,0,0,1,0
2,814,88,67,0,1,0,0,1,0
2,899,87,71,0,1,0,0,1,0
