period,time,x,y,freeKick,rightFoot,leftFoot,head,opportunity,goal
1,2183,94,45,0,0,0,1,1,0
1,2519,87,48,0,0,0,1,1,0
1,2712,90,43,0,1,0,0,0,0
2,177,74,57,0,1,0,0,0,0
2,346,72,49,0,1,0,0,0,0
2,595,90,44,0,0,1,0,0,0
2,796,92,42,0,0,0,1,1,0
2,943,67,44,1,0,1,0,1,0
2,979,85,36,0,1,0,0,1,1
2,1105,95,70,0,1,0,0,1,0
2,1375,87,29,0,1,0,0,1,0
2,1416,71,70,0,0,1,0,0,0
2,1810,94,31,0,1,0,0,1,0
2,1906,72,20,0,0,1,0,1,0
2,1957,82,45,0,1,0,0,0,0
2,2354,83,38,0,1,0,0,1,0
2,2463,75,67,1,0,1,0,1,0
1,640,87,61,0,0,1,0,0,0
1,968,65,68,0,1,0,0,0,0
1,1140,90,70,0,1,0,0,1,0
1,1167,89,34,0,0,1,0,0,0
1,1286,82,49,0,0,1,0,1,1
1,1397,85,55,0,0,1,0,1,0
1,1608,87,60,0,0,1,0,1,0
1,1781,91,44,0,0,0,1,1,0
1,1848,65,66,0,1,0,0,1,0
1,2568,89,30,0,0,1,0,1,0
1,2639,82,61,0,0,1,0,1,0
2,129,79,33,1,1,0,0,1,0
2,770,91,37,0,0,1,0,1,0
2,781,71,27,0,1,0,0,0,0
2,921,89,31,0,0,1,0,0,0
2,1104,75,43,0,1,0,0,1,0
2,1358,71,51,1,1,0,0,0,0
2,1475,88,52,0,0,1,0,0,0
2,1482,90,34,0,0,1,0,1,0
2,1609,81,55,1,1,0,0,1,0
2,2173,91,36,0,0,1,0,1,0
2,2207,91,60,0,0,0,1,1,0
2,2378,90,64,0,0,1,0,0,0
2,2663,92,71,0,1,0,0,1,0
2,2713,88,60,0,0,0,1,1,0
1,273,81,34,0,1,0,0,0,0
1,735,91,69,0,1,0,0,1,0
1,1202,87,40,0,0,1,0,1,0
1,1395,77,32,1,1,0,0,1,0
1,1399,95,61,0,0,1,0,1,1
1,1597,75,71,1,0,1,0,0,0
1,1603,94,41,0,0,1,0,1,0
1,1834,90,34,0,0,0,1,1,0
1,2002,72,51,0,0,1,0,1,0
1,2218,75,74,0,0,1,0,1,0
1,2672,73,35,0,0,1,0,0,0
1,2725,85,30,0,0,1,0,0,0
1,2730,73,48,0,1,0,0,0,0
2,91,73,40,0,1,0,0,0,0
2,589,68,60,0,0,1,0,0,0
2,1574,90,32,0,0,0,1,1,0
2,1955,79,35,0,0,1,0,1,0
2,2210,70,52,0,1,0,0,1,0
2,2339,89,67,0,0,1,0,1,0
2,2340,89,54,0,0,0,1,1,0
1,708,85,44,0,0,1,0,1,0
1,1295,74,35,0,1,0,0,1,0
1,1488,96,55,0,1,0,0,1,0
1,1490,95,49,0,1,0,0,1,1
1,1583,74,50,0,0,1,0,1,0
1,1989,89,45,0,1,0,0,1,0
1,1991,95,61,0,1,0,0,1,0
1,2037,93,43,0,1,0,0,1,1
1,2186,89,37,0,0,1,0,0,0
1,2692,88,47,0,1,0,0,1,1
2,772,75,59,0,1,0,0,0,0
2,803,90,49,0,0,0,1,1,0
2,865,76,26,0,0,1,0,1,0
2,905,85,51,0,1,0,0,0,0
2,1081,90,67,0,1,0,0,1,0
2,1382,96,56,0,1,0,0,1,0
2,1841,86,67,0,0,1,0,0,0
2,1867,96,42,0,0,0,1,1,0
2,2347,72,28,0,0,1,0,0,0
2,2490,90,30,0,0,1,0,1,0
2,2519,76,70,0,1,0,0,0,0
1,174,91,36,0,0,0,1,1,0
1,290,79,28,0,1,0,0,1,0
1,396,82,36,0,1,0,0,0,0
1,482,80,34,0,0,1,0,1,0
1,925,80,53,0,0,1,0,1,0
1,1328,89,36,0,0,1,0,1,0
1,1839,92,35,0,1,0,0,1,0
1,1987,80,36,1,1,0,0,0,0
1,1990,78,39,0,0,1,0,0,0
1,1994,80,26,0,0,1,0,0,0
1,2049,93,25,0,0,1,0,1,0
1,2081,91,55,0,0,1,0,1,0
1,2579,88,31,0,0,1,0,1,0
1,2713,90,65,0,1,0,0,1,0
2,163,79,55,0,0,1,0,1,0
2,433,72,58,1,0,1,0,1,0
2,579,91,37,0,0,1,0,1,1
2,1084,93,43,0,0,1,0,1,0
